geography,label,groupby,query,cache
conus,CONUS,,,TRUE
states,By state,state,,TRUE
counties,By county,fips,,FALSE
regions,By region,region_id,,FALSE
division,By division,division,,TRUE
conus-floodplain,CONUS floodplains,,fld_fr_fath_f100 > 0,TRUE
regions-urban,Regional urban,region_id,p_bld_fp_1000 > 5,FALSE
regions-exurban,Regional exurban,region_id,p_bld_fp_1000 > 5 and p_bld_fp_5000 < 0.5,FALSE
regions-rural,Regional rural,region_id,p_bld_fp_5000 < 0.5,FALSE
