model_id,geography,parceltype,saletype,estimator,predictor_set,ycol,weights,disclosure,stack,xcolset_base,xcols_buildings,xcols_space,xcols_race,area,time,jsd
county_hgb,county,v,deed,hgb,X,lnusd-j001,equal,all,FALSE,main,fpihs,latlong45,raceblind,Xha,Xyr,0.01
region_hgb,region,v,deed,hgb,X,lnusd-j001,equal,all,FALSE,main,fpihs,latlong45,raceblind,Xha,Xyr,0.01
region-nb_mv_hgb,region-nb,mv,deed,hgb,X,lnusd-j001,equal,all,FALSE,main,fpihs,latlong45,raceblind,Xha,Xyr,0.01
county_mv_hgb,county,mv,deed,hgb,X,lnusd-j001,equal,all,FALSE,main,fpihs,latlong45,raceblind,Xha,Xyr,0.01
region_mv_hgb,region,mv,deed,hgb,X,lnusd-j001,equal,all,FALSE,main,fpihs,latlong45,raceblind,Xha,Xyr,0.01
region-nb_gbr,region-nb,v,deed,gbr,X,lnusd-j001,equal,all,FALSE,main,fpihs,latlong45,raceblind,Xha,Xyr,0.01
region-nb_gbr-250-8,region-nb,v,deed,gbr-250-8,X,lnusd-j001,equal,all,FALSE,main,fpihs,latlong45,raceblind,Xha,Xyr,0.01
region-nb_ert-msl10,region-nb,v,deed,ert-msl10,X,lnusd-j001,equal,all,FALSE,main,fpihs,latlong45,raceblind,Xha,Xyr,0.01
region-nb_ert-msl20,region-nb,v,deed,ert-msl20,X,lnusd-j001,equal,all,FALSE,main,fpihs,latlong45,raceblind,Xha,Xyr,0.01
region-nb_ert-msl50,region-nb,v,deed,ert-msl50,X,lnusd-j001,equal,all,FALSE,main,fpihs,latlong45,raceblind,Xha,Xyr,0.01
region-nb_ert-ne100,region-nb,v,deed,ert-ne100,X,lnusd-j001,equal,all,FALSE,main,fpihs,latlong45,raceblind,Xha,Xyr,0.01
region-nb_ert-ne200,region-nb,v,deed,ert-ne200,X,lnusd-j001,equal,all,FALSE,main,fpihs,latlong45,raceblind,Xha,Xyr,0.01
region-nb_soilif,region-nb,v,deed,ert,X-soilif,lnusd-j001,equal,all,FALSE,soilif,fpihs,latlong45,raceblind,Xha,Xyr,0.01
region-nb_soildetail,region-nb,v,deed,ert,X-soildetail,lnusd-j001,equal,all,FALSE,soildetail,fpihs,latlong45,raceblind,Xha,Xyr,0.01
region-nb_nosoilclim,region-nb,v,deed,ert,X-nosoilclim,lnusd-j001,equal,all,FALSE,nosoilclim,fpihs,latlong45,raceblind,Xha,Xyr,0.01
region-nb_pnas,region-nb,v,deed,ert,X-pnas,lnusd-j001,equal,all,FALSE,pnas,fpihs,latlong45,raceblind,Xha,Xyr,0.01
region-nb_mv_pnas,region-nb,mv,deed,ert,X-pnas,lnusd-j001,equal,all,FALSE,pnas,fpihs,latlong45,raceblind,Xha,Xyr,0.01
region-nb_irr,region-nb,v,deed,ert,X-irr,lnusd-j001,equal,all,FALSE,irr,fpihs,latlong45,raceblind,Xha,Xyr,0.01
region-nb_bare,region-nb,v,deed,ert,X-bare,lnusd-j001,equal,all,FALSE,bare,fpihs,latlong45,raceblind,Xha,Xyr,0.01
region-nb_people,region-nb,v,deed,ert,X-people,lnusd-j001,equal,all,FALSE,people,fpihs,latlong45,raceblind,Xha,Xyr,0.01
region-nb_buildings,region-nb,v,deed,ert,X-buildings,lnusd-j001,equal,all,FALSE,buildings,fpihs,latlong45,raceblind,Xha,Xyr,0.01
region-nb_wealth,region-nb,v,deed,ert,X-wealth,lnusd-j001,equal,all,FALSE,wealth,fpihs,latlong45,raceblind,Xha,Xyr,0.01
region-nb_peoplewealth,region-nb,v,deed,ert,X-peoplewealth,lnusd-j001,equal,all,FALSE,peoplewealth,fpihs,latlong45,raceblind,Xha,Xyr,0.01
region-nb_peoplebuildings,region-nb,v,deed,ert,X-peoplebuildings,lnusd-j001,equal,all,FALSE,peoplebuildings,fpihs,latlong45,raceblind,Xha,Xyr,0.01
region-nb_popbldwealth,region-nb,v,deed,ert,X-popbldwealth,lnusd-j001,equal,all,FALSE,popbldwealth,fpihs,latlong45,raceblind,Xha,Xyr,0.01
region-nb_mv_fp,region-nb,mv,deed,ert,X-fp,lnusd-j001,equal,all,FALSE,main,fp,latlong45,raceblind,Xha,Xyr,0.01
region-nb_latlong,region-nb,v,deed,ert,X-latlong,lnusd-j001,equal,all,FALSE,main,fpihs,latlong,raceblind,Xha,Xyr,0.01
region-nb_nonspatial,region-nb,v,deed,ert,X-nonspatial,lnusd-j001,equal,all,FALSE,main,fpihs,nonspatial,raceblind,Xha,Xyr,0.01
region-nb_xy45,region-nb,v,deed,ert,X-xy45,lnusd-j001,equal,all,FALSE,main,fpihs,xy45,raceblind,Xha,Xyr,0.01
region-nb_blackhispanic,region-nb,v,deed,ert,X-blackhispanic,lnusd-j001,equal,all,FALSE,main,fpihs,latlong45,blackhispanic,Xha,Xyr,0.01
region-nb_diverse,region-nb,v,deed,ert,X-diverse,lnusd-j001,equal,all,FALSE,main,fpihs,latlong45,diverse,Xha,Xyr,0.01
region-nb_yha,region-nb,v,deed,ert,X-yha,lnusd-ha-j001,equal,all,FALSE,main,fpihs,latlong45,raceblind,yha,Xyr,0.01
county_yha,county,v,deed,ert,X-yha,lnusd-ha-j001,equal,all,FALSE,main,fpihs,latlong45,raceblind,yha,Xyr,0.01
region_yha,region,v,deed,ert,X-yha,lnusd-ha-j001,equal,all,FALSE,main,fpihs,latlong45,raceblind,yha,Xyr,0.01
region-nb_mv_yha,region-nb,mv,deed,ert,X-yha,lnusd-ha-j001,equal,all,FALSE,main,fpihs,latlong45,raceblind,yha,Xyr,0.01
county_mv_yha,county,mv,deed,ert,X-yha,lnusd-ha-j001,equal,all,FALSE,main,fpihs,latlong45,raceblind,yha,Xyr,0.01
region_mv_yha,region,mv,deed,ert,X-yha,lnusd-ha-j001,equal,all,FALSE,main,fpihs,latlong45,raceblind,yha,Xyr,0.01
region-nb_lm_yha,region-nb,v,deed,lm,X-yha,lnusd-ha-j001,equal,all,FALSE,main,fpihs,latlong45,raceblind,yha,Xyr,0.01
county_lm_yha,county,v,deed,lm,X-yha,lnusd-ha-j001,equal,all,FALSE,main,fpihs,latlong45,raceblind,yha,Xyr,0.01
region_lm_yha,region,v,deed,lm,X-yha,lnusd-ha-j001,equal,all,FALSE,main,fpihs,latlong45,raceblind,yha,Xyr,0.01
region-nb_mv_lm_yha,region-nb,mv,deed,lm,X-yha,lnusd-ha-j001,equal,all,FALSE,main,fpihs,latlong45,raceblind,yha,Xyr,0.01
county_mv_lm_yha,county,mv,deed,lm,X-yha,lnusd-ha-j001,equal,all,FALSE,main,fpihs,latlong45,raceblind,yha,Xyr,0.01
region_mv_lm_yha,region,mv,deed,lm,X-yha,lnusd-ha-j001,equal,all,FALSE,main,fpihs,latlong45,raceblind,yha,Xyr,0.01
