mid,description,ycol,xcols,xcols_div,x_dummies
conus,current reference,ln_rprc,"ln_ha, ln_ha^2, ln_bld_pop_exp_c4, ln_bld_pop_exp_c4^2, ln_hh_inc_med_bg_2012-2016, ln_hh_inc_med_bg_2012-2016^2, hh_inc_med_bg_2012-2016_bottom, hh_inc_med_bg_2012-2016_top, slope, p_wet, cst_2500, cst_50, lakefront, riverfront, p_dev, p_dev_open, p_crops, p_pasture, p_forest, p_wetland",,year_quarter
conus_div,ref + div dummies,ln_rprc,"ln_ha, ln_ha^2, ln_bld_pop_exp_c4, ln_bld_pop_exp_c4^2, ln_hh_inc_med_bg_2012-2016, ln_hh_inc_med_bg_2012-2016^2, hh_inc_med_bg_2012-2016_bottom, hh_inc_med_bg_2012-2016_top, slope, p_wet, cst_2500, cst_50, lakefront, riverfront, p_dev, p_dev_open, p_crops, p_pasture, p_forest, p_wetland",,"year_quarter, division"
conus_state,ref + state dummies,ln_rprc,"ln_ha, ln_ha^2, ln_bld_pop_exp_c4, ln_bld_pop_exp_c4^2, ln_hh_inc_med_bg_2012-2016, ln_hh_inc_med_bg_2012-2016^2, hh_inc_med_bg_2012-2016_bottom, hh_inc_med_bg_2012-2016_top, slope, p_wet, cst_2500, cst_50, lakefront, riverfront, p_dev, p_dev_open, p_crops, p_pasture, p_forest, p_wetland",,"year_quarter, state"
conus_region,ref + region dummies,ln_rprc,"ln_ha, ln_ha^2, ln_bld_pop_exp_c4, ln_bld_pop_exp_c4^2, ln_hh_inc_med_bg_2012-2016, ln_hh_inc_med_bg_2012-2016^2, hh_inc_med_bg_2012-2016_bottom, hh_inc_med_bg_2012-2016_top, slope, p_wet, cst_2500, cst_50, lakefront, riverfront, p_dev, p_dev_open, p_crops, p_pasture, p_forest, p_wetland",,"year_quarter, region_id"
conus_divXc,"ref by division, constant curvature",ln_rprc,"ln_ha^2, ln_bld_pop_exp_c4^2, ln_hh_inc_med_bg_2012-2016^2","ln_ha, ln_bld_pop_exp_c4, ln_hh_inc_med_bg_2012-2016, hh_inc_med_bg_2012-2016_bottom, hh_inc_med_bg_2012-2016_top, slope, p_wet, cst_2500, cst_50, lakefront, riverfront, p_dev, p_dev_open, p_crops, p_pasture, p_forest, p_wetland",year_quarter
conus_divX,ref by division,ln_rprc,,"ln_ha, ln_ha^2, ln_bld_pop_exp_c4, ln_bld_pop_exp_c4^2, ln_hh_inc_med_bg_2012-2016, ln_hh_inc_med_bg_2012-2016^2, hh_inc_med_bg_2012-2016_bottom, hh_inc_med_bg_2012-2016_top, slope, p_wet, cst_2500, cst_50, lakefront, riverfront, p_dev, p_dev_open, p_crops, p_pasture, p_forest, p_wetland",year_quarter
conus_sizeblind,sizeblind,ln_rprc_ha,"ln_bld_pop_exp_c4, ln_bld_pop_exp_c4^2, ln_hh_inc_med_bg_2012-2016, ln_hh_inc_med_bg_2012-2016^2, hh_inc_med_bg_2012-2016_bottom, hh_inc_med_bg_2012-2016_top, slope, p_wet, cst_2500, cst_50, lakefront, riverfront, p_dev, p_dev_open, p_crops, p_pasture, p_forest, p_wetland",,year_quarter
conus_divXc_sizeblind,"sizeblind + by division, constant curvature",ln_rprc_ha,"ln_bld_pop_exp_c4^2, ln_hh_inc_med_bg_2012-2016^2","ln_bld_pop_exp_c4, ln_hh_inc_med_bg_2012-2016, hh_inc_med_bg_2012-2016_bottom, hh_inc_med_bg_2012-2016_top, slope, p_wet, cst_2500, cst_50, lakefront, riverfront, p_dev, p_dev_open, p_crops, p_pasture, p_forest, p_wetland",year_quarter
conus_region_sizeblind,sizeblind + region dummies,ln_rprc_ha,"ln_bld_pop_exp_c4, ln_bld_pop_exp_c4^2, ln_hh_inc_med_bg_2012-2016, ln_hh_inc_med_bg_2012-2016^2, hh_inc_med_bg_2012-2016_bottom, hh_inc_med_bg_2012-2016_top, slope, p_wet, cst_2500, cst_50, lakefront, riverfront, p_dev, p_dev_open, p_crops, p_pasture, p_forest, p_wetland",,"year_quarter, region_id"
